return_id,order_id,return_date,return_reason,return_status,refund_amount,reverse_shipping_cost,restocking_loss
700365,901881,2024-05-28,Not as Described,Approved,1290.0,71.59,199.95
700366,901887,2024-08-01,Size/Fit Issue,Approved,970.0,87.78,157.62
700367,901897,2025-03-23,Defective/Damaged,Approved,10800.0,61.3,2322.0
700368,901900,2024-08-31,Not as Described,Approved,1320.0,97.59,204.6
700369,901901,2024-05-11,Size/Fit Issue,Approved,3370.0,76.46,572.9
700370,901905,2025-02-09,Changed Mind,Approved,21600.0,92.23,2322.0
700371,901926,2024-08-17,Not as Described,Approved,3740.0,140.45,635.8
700372,901931,2024-09-22,Not as Described,Approved,2260.0,179.89,175.15
700373,901932,2024-11-16,Size/Fit Issue,Approved,3920.0,66.06,318.5
700374,901933,2024-08-11,Size/Fit Issue,Approved,1870.0,159.72,303.88
700375,901937,2024-11-17,Defective/Damaged,Approved,9950.0,64.56,2139.25
700376,901944,2024-11-03,Size/Fit Issue,Approved,3900.0,165.87,663.0
700377,901945,2024-08-23,Size/Fit Issue,Approved,3370.0,97.76,572.9
700378,901947,2025-03-14,Changed Mind,Approved,3370.0,72.06,572.9
700379,901948,2024-09-17,Defective/Damaged,Approved,3020.0,80.73,245.38
700380,901949,2025-01-31,Changed Mind,Approved,890.0,89.03,137.95
700381,901951,2024-08-12,Size/Fit Issue,Approved,2150.0,60.57,349.38
700382,901956,2024-06-22,Size/Fit Issue,Approved,2560.0,142.19,435.2
700383,901965,2024-07-24,Defective/Damaged,Approved,1770.0,159.83,287.62
700384,901970,2025-03-26,Defective/Damaged,Approved,1080.0,107.14,78.3
700385,901974,2024-10-28,Size/Fit Issue,Approved,2560.0,121.94,435.2
700386,901975,2024-06-23,Size/Fit Issue,Approved,3000.0,116.84,510.0
700387,901976,2024-06-23,Defective/Damaged,Approved,3150.0,88.16,567.0
700388,901985,2024-09-05,Changed Mind,Rejected,0.0,83.67,0.0
700389,901987,2024-04-12,Not as Described,Approved,11450.0,162.92,2461.75
700390,901991,2025-01-23,Changed Mind,Approved,3480.0,175.79,313.2
700391,901992,2025-03-30,Size/Fit Issue,Approved,1510.0,75.21,245.38
700392,901994,2025-03-06,Size/Fit Issue,Approved,2150.0,159.84,349.38
700393,901995,2024-12-11,Size/Fit Issue,Approved,3900.0,88.6,663.0
700394,901997,2024-12-22,Defective/Damaged,Approved,12810.0,139.78,2754.15
700395,902003,2025-02-28,Changed Mind,Approved,3700.0,146.61,629.0
700396,902019,2024-05-09,Changed Mind,Approved,1190.0,114.82,193.38
700397,902023,2024-06-22,Not as Described,Approved,13140.0,113.81,2825.1
700398,902028,2025-02-08,Size/Fit Issue,Approved,1870.0,156.13,303.88
700399,902030,2024-12-16,Not as Described,Approved,1320.0,150.69,204.6
700400,902042,2025-01-01,Size/Fit Issue,Approved,7480.0,121.28,635.8
700401,902044,2024-12-20,Changed Mind,Approved,2260.0,159.07,163.85
700402,902050,2025-03-14,Not as Described,Approved,970.0,81.2,157.62
700403,902056,2024-12-16,Defective/Damaged,Approved,12810.0,80.29,2754.15
700404,902060,2025-02-06,Size/Fit Issue,Approved,1190.0,161.82,193.38
700405,902069,2025-02-28,Changed Mind,Approved,1820.0,174.37,141.05
700406,902076,2024-07-17,Size/Fit Issue,Approved,2220.0,163.35,180.38
700407,902077,2025-02-27,Changed Mind,Approved,740.0,148.47,107.3
700408,902078,2024-09-23,Changed Mind,Rejected,0.0,93.55,0.0
700409,902079,2024-11-23,Changed Mind,Approved,3170.0,123.11,570.6
700410,902083,2024-06-22,Wrong Item Delivered,Approved,2250.0,115.54,405.0
700411,902087,2024-05-17,Defective/Damaged,Approved,1740.0,135.33,313.2
700412,902095,2024-06-02,Defective/Damaged,Approved,13790.0,73.57,2964.85
700413,902104,2025-02-10,Size/Fit Issue,Approved,970.0,158.02,157.62
700414,902119,2024-09-15,Not as Described,Approved,1740.0,130.58,313.2
700415,902132,2025-01-05,Wrong Item Delivered,Approved,3150.0,93.45,567.0
700416,902134,2024-12-12,Size/Fit Issue,Approved,1110.0,67.26,180.38
700417,902136,2024-06-16,Size/Fit Issue,Approved,3370.0,152.41,572.9
700418,902142,2024-08-12,Not as Described,Approved,7480.0,106.79,635.8
700419,902148,2025-03-17,Not as Described,Approved,810.0,69.4,117.45
700420,902150,2024-06-01,Not as Described,Approved,3150.0,178.39,567.0
700421,902152,2024-05-12,Changed Mind,Approved,1870.0,155.63,303.88
700422,902154,2024-06-06,Defective/Damaged,Rejected,0.0,95.88,0.0
700423,902158,2024-05-03,Defective/Damaged,Approved,1080.0,90.02,194.4
700424,902159,2025-03-05,Size/Fit Issue,Rejected,0.0,104.26,0.0
700425,902160,2024-11-02,Not as Described,Approved,1820.0,154.7,141.05
700426,902177,2024-06-28,Defective/Damaged,Approved,510.0,175.17,73.95
700427,902185,2025-01-06,Not as Described,Approved,1940.0,165.95,157.62
700428,902188,2024-08-17,Defective/Damaged,Rejected,0.0,77.73,0.0
700429,902190,2024-08-28,Size/Fit Issue,Approved,3000.0,90.48,510.0
700430,902210,2024-09-10,Changed Mind,Rejected,0.0,160.72,0.0
700431,902211,2025-03-26,Changed Mind,Approved,1870.0,177.17,303.88
700432,902213,2025-01-07,Changed Mind,Approved,1130.0,119.77,175.15
700433,902215,2024-10-01,Defective/Damaged,Approved,11450.0,62.82,2461.75
700434,902216,2024-08-21,Size/Fit Issue,Rejected,0.0,151.42,0.0
700435,902225,2025-03-04,Wrong Item Delivered,Approved,890.0,99.44,137.95
700436,902231,2025-02-19,Defective/Damaged,Approved,10800.0,66.33,2322.0
700437,902235,2024-07-03,Changed Mind,Approved,1770.0,146.13,287.62
700438,902241,2025-01-03,Size/Fit Issue,Approved,2560.0,92.22,435.2
700439,902248,2024-04-17,Changed Mind,Approved,3740.0,93.28,635.8
700440,902249,2024-07-23,Size/Fit Issue,Approved,3370.0,84.99,572.9
700441,902252,2024-07-08,Changed Mind,Approved,590.0,118.09,85.55
700442,902257,2024-11-16,Not as Described,Approved,22900.0,132.37,2461.75
700443,902258,2024-04-27,Size/Fit Issue,Approved,3700.0,122.75,629.0
700444,902273,2025-01-22,Defective/Damaged,Approved,510.0,131.72,73.95
700445,902276,2024-12-28,Defective/Damaged,Approved,1290.0,163.28,199.95
700446,902282,2025-04-05,Not as Described,Approved,10800.0,98.9,2322.0
700447,902294,2025-03-17,Defective/Damaged,Approved,4900.0,154.26,441.0
700448,902301,2024-05-05,Defective/Damaged,Approved,12810.0,93.08,2754.15
700449,902304,2025-01-02,Not as Described,Approved,7350.0,79.64,441.0
700450,902309,2024-10-19,Size/Fit Issue,Approved,1510.0,119.75,245.38
700451,902314,2024-08-02,Defective/Damaged,Approved,2160.0,153.2,194.4
700452,902316,2024-08-04,Not as Described,Approved,7480.0,164.08,635.8
700453,902318,2024-10-16,Size/Fit Issue,Approved,2600.0,100.59,442.0
700454,902319,2025-01-14,Not as Described,Approved,3920.0,145.32,318.5
700455,902325,2024-08-15,Changed Mind,Approved,1960.0,85.19,318.5
700456,902329,2024-10-08,Changed Mind,Approved,780.0,169.99,113.1
700457,902331,2024-07-25,Not as Described,Approved,1560.0,168.55,113.1
700458,902337,2024-07-29,Changed Mind,Approved,6450.0,108.58,349.38
700459,902342,2024-06-20,Changed Mind,Rejected,0.0,134.32,0.0
700460,902346,2024-06-09,Defective/Damaged,Approved,2450.0,170.95,441.0
700461,902353,2025-01-28,Size/Fit Issue,Approved,3540.0,72.64,287.62
700462,902358,2024-07-30,Defective/Damaged,Rejected,0.0,61.38,0.0
700463,902372,2025-03-06,Size/Fit Issue,Approved,1960.0,101.98,318.5
700464,902381,2024-09-19,Defective/Damaged,Approved,21600.0,60.7,2322.0
700465,902398,2024-08-26,Changed Mind,Approved,1960.0,116.03,318.5
700466,902405,2025-02-02,Size/Fit Issue,Approved,1960.0,69.23,318.5
700467,902406,2024-07-21,Size/Fit Issue,Approved,2150.0,163.55,349.38
700468,902408,2025-02-26,Size/Fit Issue,Approved,6740.0,90.89,572.9
700469,902416,2024-05-27,Wrong Item Delivered,Approved,3150.0,141.69,567.0
700470,902421,2024-07-24,Changed Mind,Approved,910.0,161.26,141.05
700471,902423,2025-02-23,Not as Described,Approved,1960.0,87.03,318.5
700472,902424,2024-11-13,Not as Described,Approved,1560.0,103.04,241.8
700473,902427,2024-07-13,Size/Fit Issue,Approved,1870.0,176.59,303.88
700474,902431,2024-06-09,Defective/Damaged,Rejected,0.0,158.47,0.0
700475,902432,2024-10-24,Wrong Item Delivered,Approved,1990.0,125.27,358.2
700476,902433,2024-04-23,Changed Mind,Approved,2430.0,119.79,125.55
700477,902436,2024-08-13,Not as Described,Approved,1770.0,152.88,287.62
700478,902446,2024-12-15,Defective/Damaged,Approved,22900.0,95.43,2461.75
700479,902450,2024-10-06,Defective/Damaged,Rejected,0.0,166.12,0.0
700480,902455,2025-02-15,Size/Fit Issue,Approved,7400.0,103.57,629.0
700481,902475,2024-11-15,Defective/Damaged,Rejected,0.0,171.38,0.0
700482,902478,2025-02-19,Changed Mind,Approved,1130.0,129.3,163.85
700483,902481,2025-01-27,Wrong Item Delivered,Approved,1740.0,98.63,313.2
700484,902484,2024-10-17,Size/Fit Issue,Approved,3700.0,140.48,629.0
700485,902488,2024-07-30,Size/Fit Issue,Approved,1510.0,90.25,245.38
700486,902491,2025-03-14,Defective/Damaged,Approved,780.0,150.82,113.1
700487,902496,2024-08-19,Defective/Damaged,Approved,1320.0,140.77,204.6
700488,902503,2024-10-23,Size/Fit Issue,Approved,1960.0,160.7,318.5
700489,902515,2024-08-03,Defective/Damaged,Approved,13140.0,174.52,2825.1
700490,902516,2025-03-25,Not as Described,Approved,540.0,177.62,78.3
700491,902520,2025-03-02,Defective/Damaged,Approved,780.0,62.81,113.1
700492,902521,2024-08-20,Defective/Damaged,Approved,510.0,111.24,73.95
700493,902530,2025-01-26,Defective/Damaged,Approved,3740.0,101.46,635.8
700494,902534,2024-08-11,Changed Mind,Approved,510.0,140.42,73.95
700495,902550,2025-02-11,Changed Mind,Approved,780.0,166.45,113.1
700496,902554,2024-11-17,Size/Fit Issue,Approved,2560.0,169.67,435.2
700497,902565,2025-01-16,Not as Described,Rejected,0.0,137.0,0.0
700498,902566,2025-04-04,Size/Fit Issue,Approved,3900.0,63.82,663.0
700499,902569,2024-11-27,Size/Fit Issue,Approved,3740.0,87.42,635.8
700500,902570,2024-06-15,Changed Mind,Approved,2550.0,173.09,459.0
700501,902583,2025-01-05,Size/Fit Issue,Approved,5200.0,93.19,442.0
700502,902586,2025-03-16,Defective/Damaged,Approved,11100.0,87.69,629.0
700503,902588,2024-10-15,Changed Mind,Approved,1510.0,67.98,245.38
700504,902591,2025-01-18,Size/Fit Issue,Approved,1770.0,131.35,287.62
700505,902592,2024-07-18,Changed Mind,Approved,13140.0,151.27,2825.1
700506,902596,2024-05-17,Defective/Damaged,Approved,6000.0,172.11,510.0
700507,902597,2024-09-28,Not as Described,Approved,3000.0,173.99,510.0
700508,902601,2024-06-18,Not as Described,Approved,1560.0,104.74,241.8
700509,902609,2024-12-01,Size/Fit Issue,Approved,3000.0,177.66,510.0
700510,902610,2024-05-09,Size/Fit Issue,Approved,2560.0,73.44,435.2
700511,902614,2024-08-11,Wrong Item Delivered,Approved,3150.0,131.29,567.0
700512,902618,2025-02-10,Defective/Damaged,Approved,4900.0,153.21,441.0
700513,902626,2024-10-26,Size/Fit Issue,Approved,2150.0,146.22,349.38
700514,902635,2024-05-05,Not as Described,Approved,910.0,77.08,141.05
700515,902636,2025-04-04,Defective/Damaged,Approved,11450.0,167.28,2461.75
700516,902639,2024-07-24,Not as Described,Approved,2780.0,175.6,215.45
700517,902646,2025-02-05,Size/Fit Issue,Approved,2370.0,116.32,402.9
700518,902648,2024-05-31,Size/Fit Issue,Approved,7400.0,101.38,629.0
700519,902649,2024-06-17,Not as Described,Approved,4500.0,110.3,405.0
700520,902650,2025-03-16,Not as Described,Approved,12810.0,102.85,2754.15
700521,902659,2025-01-31,Defective/Damaged,Approved,13140.0,70.92,2825.1
700522,902661,2025-03-15,Not as Described,Approved,1940.0,155.34,157.62
700523,902683,2024-12-21,Defective/Damaged,Approved,1620.0,102.99,117.45
700524,902693,2024-07-30,Defective/Damaged,Approved,1620.0,125.14,125.55
700525,902695,2024-04-19,Size/Fit Issue,Approved,2560.0,110.7,435.2
700526,902698,2025-03-30,Changed Mind,Approved,3170.0,147.73,570.6
700527,902699,2025-03-08,Defective/Damaged,Approved,13140.0,127.6,2825.1
700528,902700,2024-04-11,Changed Mind,Approved,1390.0,125.06,215.45
700529,902706,2024-07-27,Size/Fit Issue,Rejected,0.0,171.76,0.0
700530,902711,2024-07-21,Defective/Damaged,Approved,510.0,71.71,73.95
700531,902712,2024-08-14,Not as Described,Approved,510.0,146.83,73.95
700532,902713,2025-03-24,Size/Fit Issue,Rejected,0.0,162.4,0.0
700533,902716,2024-09-30,Size/Fit Issue,Approved,970.0,139.19,157.62
700534,902717,2024-06-26,Defective/Damaged,Approved,13790.0,85.77,2964.85
700535,902726,2024-04-26,Size/Fit Issue,Approved,2560.0,136.05,435.2
700536,902729,2024-06-13,Changed Mind,Approved,510.0,148.45,73.95
700537,902730,2024-09-13,Changed Mind,Rejected,0.0,107.3,0.0
700538,902736,2025-02-04,Changed Mind,Approved,13140.0,129.75,2825.1
700539,902737,2025-01-09,Not as Described,Approved,4500.0,105.83,405.0
700540,902739,2025-01-11,Wrong Item Delivered,Approved,2250.0,105.41,405.0
700541,902743,2024-09-09,Defective/Damaged,Approved,10800.0,138.95,2322.0
700542,902751,2024-06-11,Size/Fit Issue,Approved,1940.0,61.57,157.62
700543,902763,2024-10-26,Size/Fit Issue,Approved,1960.0,178.84,318.5
700544,902769,2024-10-09,Not as Described,Approved,910.0,136.89,141.05
700545,902774,2024-08-13,Not as Described,Approved,1130.0,62.87,163.85
700546,902780,2025-01-07,Changed Mind,Approved,1130.0,85.21,163.85
700547,902782,2024-11-05,Changed Mind,Rejected,0.0,89.51,0.0
700548,902783,2025-02-18,Size/Fit Issue,Approved,2600.0,153.43,442.0
700549,902791,2025-03-02,Defective/Damaged,Approved,3000.0,126.09,510.0
700550,902794,2024-04-25,Not as Described,Rejected,0.0,123.01,0.0
700551,902795,2025-03-18,Changed Mind,Approved,2580.0,164.09,199.95
700552,902797,2025-01-30,Defective/Damaged,Approved,12810.0,151.64,2754.15
700553,902802,2024-10-27,Changed Mind,Approved,3000.0,152.62,510.0
700554,902805,2025-03-25,Not as Described,Approved,3900.0,120.85,663.0
700555,902811,2025-03-06,Defective/Damaged,Rejected,0.0,104.2,0.0
700556,902813,2025-01-23,Changed Mind,Approved,13140.0,91.89,2825.1
700557,902815,2024-06-02,Defective/Damaged,Approved,510.0,94.7,73.95
700558,902821,2024-08-27,Defective/Damaged,Approved,19900.0,70.81,2139.25
700559,902825,2025-02-16,Defective/Damaged,Approved,1510.0,105.09,245.38
700560,902839,2025-02-11,Size/Fit Issue,Approved,1870.0,132.23,303.88
700561,902840,2024-04-17,Defective/Damaged,Approved,3700.0,141.58,629.0
700562,902846,2024-06-26,Not as Described,Approved,890.0,110.42,137.95
700563,902851,2024-06-08,Defective/Damaged,Rejected,0.0,64.7,0.0
700564,902856,2024-10-27,Not as Described,Approved,3000.0,93.03,510.0
700565,902857,2024-10-24,Defective/Damaged,Approved,13140.0,157.74,2825.1
700566,902862,2024-09-19,Changed Mind,Approved,810.0,126.9,125.55
700567,902869,2024-12-02,Size/Fit Issue,Approved,9000.0,70.06,510.0
700568,902871,2024-06-11,Defective/Damaged,Approved,1990.0,174.96,358.2
700569,902876,2024-12-10,Size/Fit Issue,Approved,1770.0,86.64,287.62
700570,902879,2025-01-08,Defective/Damaged,Approved,1740.0,118.01,313.2
700571,902882,2024-12-05,Changed Mind,Approved,1990.0,166.21,358.2
700572,902884,2024-10-23,Not as Described,Approved,1320.0,81.16,204.6
700573,902886,2024-05-25,Defective/Damaged,Approved,810.0,60.87,125.55
700574,902890,2024-07-30,Wrong Item Delivered,Approved,1560.0,146.11,241.8
700575,902898,2024-07-17,Size/Fit Issue,Rejected,0.0,80.03,0.0
700576,902900,2024-07-16,Not as Described,Approved,1390.0,155.06,215.45
700577,902901,2025-03-21,Size/Fit Issue,Approved,1960.0,134.18,318.5
700578,902904,2024-05-12,Not as Described,Approved,9950.0,129.02,2139.25
700579,902907,2024-12-10,Size/Fit Issue,Approved,2560.0,93.95,435.2
700580,902917,2024-12-27,Size/Fit Issue,Approved,2560.0,175.11,435.2
700581,902919,2025-01-06,Defective/Damaged,Approved,1870.0,80.56,303.88
700582,902932,2024-12-10,Not as Described,Approved,4500.0,150.03,405.0
700583,902934,2024-05-04,Size/Fit Issue,Approved,2600.0,145.13,442.0
700584,902939,2024-05-05,Changed Mind,Approved,1390.0,69.22,215.45
700585,902955,2025-02-27,Size/Fit Issue,Approved,1870.0,132.67,303.88
700586,902969,2025-01-10,Size/Fit Issue,Approved,2150.0,65.3,349.38
700587,902972,2024-08-20,Size/Fit Issue,Approved,3740.0,127.24,635.8
700588,902976,2024-06-25,Defective/Damaged,Approved,3700.0,134.4,629.0
700589,902985,2024-12-19,Not as Described,Approved,540.0,86.62,78.3
700590,902991,2025-02-07,Changed Mind,Approved,3000.0,142.93,510.0
700591,902996,2025-03-08,Not as Described,Approved,3370.0,156.46,572.9
700592,902998,2024-08-24,Not as Described,Approved,1990.0,140.75,358.2
700593,903005,2025-03-29,Defective/Damaged,Approved,1990.0,142.49,358.2
700594,903012,2024-11-04,Defective/Damaged,Approved,2250.0,169.12,405.0
700595,903013,2024-09-16,Changed Mind,Approved,1190.0,119.75,193.38
700596,903021,2024-06-06,Size/Fit Issue,Approved,1510.0,99.81,245.38
700597,903025,2024-09-30,Not as Described,Rejected,0.0,129.37,0.0
700598,903030,2024-09-03,Size/Fit Issue,Approved,3920.0,123.71,318.5
700599,903031,2024-06-09,Not as Described,Rejected,0.0,163.18,0.0
700600,903040,2024-08-09,Not as Described,Approved,1770.0,145.57,287.62
700601,903043,2025-02-24,Not as Described,Approved,3170.0,62.86,570.6
700602,903044,2025-01-16,Defective/Damaged,Approved,3170.0,140.56,570.6
700603,903051,2024-10-23,Defective/Damaged,Approved,1940.0,74.77,157.62
700604,903052,2024-05-06,Changed Mind,Approved,970.0,122.44,157.62
700605,903055,2024-05-26,Size/Fit Issue,Approved,2380.0,122.1,193.38
700606,903057,2025-02-27,Not as Described,Approved,1020.0,79.54,73.95
700607,903058,2025-02-26,Changed Mind,Approved,890.0,70.88,137.95
700608,903060,2024-07-09,Not as Described,Approved,3370.0,153.47,572.9
700609,903064,2025-03-15,Size/Fit Issue,Rejected,0.0,167.36,0.0
700610,903065,2025-03-13,Defective/Damaged,Approved,810.0,164.78,117.45
700611,903070,2025-02-23,Size/Fit Issue,Approved,2150.0,62.07,349.38
700612,903080,2025-01-05,Not as Described,Approved,780.0,142.08,113.1
700613,903084,2024-10-16,Size/Fit Issue,Approved,970.0,126.07,157.62
700614,903087,2024-10-04,Not as Described,Approved,910.0,168.01,141.05
700615,903088,2025-03-28,Not as Described,Approved,5200.0,169.73,442.0
700616,903106,2024-11-06,Size/Fit Issue,Approved,3920.0,153.79,318.5
700617,903113,2024-09-02,Not as Described,Approved,1510.0,146.4,245.38
700618,903129,2024-12-17,Defective/Damaged,Rejected,0.0,159.99,0.0
700619,903137,2024-09-18,Size/Fit Issue,Approved,7400.0,123.22,629.0
700620,903144,2024-10-03,Not as Described,Approved,3740.0,165.69,635.8
700621,903156,2024-10-09,Defective/Damaged,Rejected,0.0,106.78,0.0
700622,903164,2025-01-25,Wrong Item Delivered,Approved,1130.0,154.17,175.15
700623,903165,2025-02-14,Size/Fit Issue,Approved,2370.0,178.18,402.9
700624,903172,2024-06-05,Defective/Damaged,Rejected,0.0,158.63,0.0
700625,903176,2024-05-19,Not as Described,Approved,540.0,124.9,78.3
700626,903181,2024-08-10,Size/Fit Issue,Approved,5310.0,139.06,287.62
700627,903188,2024-08-22,Not as Described,Approved,1560.0,69.57,241.8
700628,903192,2025-01-07,Size/Fit Issue,Rejected,0.0,136.33,0.0
700629,903196,2024-08-22,Defective/Damaged,Approved,12780.0,158.76,2747.7
700630,903199,2025-01-20,Changed Mind,Approved,1130.0,103.97,175.15
700631,903201,2025-03-11,Not as Described,Approved,1870.0,145.88,303.88
700632,903206,2024-09-15,Not as Described,Approved,2250.0,110.84,405.0
700633,903207,2024-11-25,Not as Described,Approved,2150.0,167.14,349.38
700634,903209,2024-09-20,Defective/Damaged,Approved,3900.0,176.43,663.0
700635,903213,2024-04-20,Not as Described,Approved,12810.0,133.26,2754.15
700636,903216,2025-02-04,Not as Described,Approved,890.0,67.63,137.95
700637,903218,2025-01-15,Not as Described,Approved,6340.0,90.69,570.6
700638,903219,2025-02-10,Changed Mind,Approved,3000.0,164.78,510.0
700639,903223,2024-05-07,Defective/Damaged,Approved,3170.0,73.04,570.6
700640,903228,2025-03-03,Defective/Damaged,Approved,810.0,73.02,125.55
700641,903229,2024-09-22,Defective/Damaged,Approved,810.0,151.71,117.45
700642,903232,2024-08-20,Defective/Damaged,Approved,10800.0,132.64,2322.0
700643,903238,2024-11-11,Size/Fit Issue,Approved,3700.0,77.58,629.0
700644,903242,2024-11-03,Not as Described,Approved,890.0,143.52,137.95
700645,903244,2024-09-11,Defective/Damaged,Approved,3150.0,142.46,567.0
700646,903246,2024-08-14,Not as Described,Approved,13140.0,70.47,2825.1
700647,903250,2024-04-06,Not as Described,Approved,1820.0,62.52,141.05
700648,903252,2024-10-02,Not as Described,Approved,12810.0,170.03,2754.15
700649,903253,2024-09-08,Not as Described,Approved,740.0,146.7,107.3
700650,903257,2024-12-04,Changed Mind,Approved,3700.0,147.21,629.0
700651,903260,2024-07-23,Changed Mind,Approved,3370.0,133.9,572.9
700652,903271,2025-01-25,Defective/Damaged,Rejected,0.0,173.63,0.0
700653,903280,2024-05-10,Not as Described,Approved,2450.0,85.94,441.0
700654,903282,2025-01-25,Defective/Damaged,Approved,38340.0,88.17,2747.7
700655,903284,2024-05-05,Defective/Damaged,Approved,9950.0,91.1,2139.25
700656,903286,2024-11-01,Wrong Item Delivered,Approved,1990.0,164.76,358.2
700657,903294,2024-09-22,Size/Fit Issue,Approved,2150.0,99.43,349.38
700658,903298,2024-09-08,Size/Fit Issue,Approved,3000.0,112.4,510.0
700659,903302,2024-07-19,Size/Fit Issue,Approved,2150.0,142.25,349.38
700660,903304,2025-02-15,Size/Fit Issue,Approved,3740.0,97.07,303.88
700661,903311,2024-05-28,Changed Mind,Approved,740.0,70.03,107.3
700662,903315,2024-08-04,Changed Mind,Approved,410.0,173.49,59.45
700663,903316,2024-11-18,Defective/Damaged,Approved,4500.0,163.5,405.0
700664,903318,2024-07-13,Size/Fit Issue,Approved,1960.0,126.76,318.5
700665,903330,2024-07-26,Not as Described,Approved,820.0,71.52,59.45
700666,903340,2024-12-30,Changed Mind,Approved,890.0,77.57,137.95
700667,903341,2024-09-18,Defective/Damaged,Approved,38340.0,166.53,2747.7
700668,903349,2024-10-30,Changed Mind,Approved,590.0,114.16,85.55
700669,903357,2024-08-24,Defective/Damaged,Rejected,0.0,60.78,0.0
700670,903370,2024-06-11,Changed Mind,Approved,810.0,106.52,125.55
700671,903377,2024-12-12,Changed Mind,Approved,26660.0,74.91,2865.95
700672,903378,2025-03-24,Not as Described,Approved,590.0,79.4,85.55
700673,903379,2024-07-19,Size/Fit Issue,Approved,2150.0,145.5,349.38
700674,903381,2024-10-27,Wrong Item Delivered,Approved,1290.0,92.92,199.95
700675,903392,2024-12-07,Changed Mind,Approved,12780.0,116.27,2747.7
700676,903393,2024-05-25,Changed Mind,Approved,1390.0,102.9,215.45
700677,903397,2024-11-26,Not as Described,Approved,1770.0,127.95,287.62
700678,903413,2024-07-03,Changed Mind,Approved,1990.0,137.49,358.2
700679,903415,2025-03-23,Size/Fit Issue,Approved,3740.0,129.83,635.8
700680,903420,2024-08-15,Size/Fit Issue,Approved,2600.0,170.08,442.0
700681,903422,2024-10-29,Defective/Damaged,Approved,2260.0,170.57,163.85
700682,903425,2025-03-08,Defective/Damaged,Rejected,0.0,98.8,0.0
700683,903454,2024-09-11,Not as Described,Approved,1110.0,98.86,180.38
700684,903457,2024-10-26,Size/Fit Issue,Approved,2370.0,114.57,402.9
700685,903462,2024-08-05,Changed Mind,Approved,810.0,73.67,125.55
700686,903466,2024-10-06,Changed Mind,Approved,2260.0,156.74,175.15
700687,903475,2024-08-20,Size/Fit Issue,Approved,1960.0,136.32,318.5
700688,903491,2024-06-19,Size/Fit Issue,Approved,4740.0,178.64,402.9
700689,903496,2024-09-24,Not as Described,Rejected,0.0,122.03,0.0
700690,903525,2024-12-12,Changed Mind,Rejected,0.0,63.67,0.0
700691,903526,2025-01-22,Changed Mind,Approved,740.0,115.43,107.3
700692,903529,2024-11-14,Changed Mind,Approved,9950.0,131.49,2139.25
700693,903533,2024-11-18,Defective/Damaged,Approved,12810.0,116.55,2754.15
700694,903537,2024-07-10,Changed Mind,Approved,2370.0,112.18,402.9
700695,903543,2025-03-25,Defective/Damaged,Approved,2250.0,102.9,405.0
700696,903545,2025-02-15,Size/Fit Issue,Approved,3370.0,89.53,572.9
700697,903546,2024-11-10,Size/Fit Issue,Approved,2370.0,95.88,402.9
700698,903570,2024-11-01,Better Price Found,Approved,9950.0,76.87,2139.25
700699,903571,2024-07-13,Changed Mind,Approved,3170.0,145.73,570.6
700700,903575,2024-08-30,Not as Described,Approved,3900.0,91.14,663.0
700701,903576,2024-12-14,Changed Mind,Approved,1080.0,121.93,194.4
700702,903578,2024-09-24,Size/Fit Issue,Approved,1510.0,82.8,245.38
700703,903587,2024-11-11,Changed Mind,Approved,590.0,116.02,85.55
700704,903600,2024-11-18,Defective/Damaged,Approved,810.0,175.3,117.45
700705,903605,2024-09-12,Not as Described,Rejected,0.0,166.95,0.0
700706,903609,2025-01-30,Wrong Item Delivered,Rejected,0.0,74.7,0.0
700707,903611,2024-08-22,Defective/Damaged,Rejected,0.0,134.22,0.0
700708,903616,2024-09-18,Defective/Damaged,Approved,970.0,158.27,157.62
700709,903617,2025-02-28,Not as Described,Approved,2160.0,163.78,194.4
700710,903620,2024-06-08,Not as Described,Approved,3150.0,79.52,567.0
700711,903624,2024-07-19,Defective/Damaged,Approved,1080.0,126.98,194.4
700712,903625,2024-04-28,Defective/Damaged,Approved,910.0,141.48,141.05
700713,903639,2024-11-29,Size/Fit Issue,Approved,2600.0,66.38,442.0
700714,903643,2024-06-12,Defective/Damaged,Approved,780.0,96.69,113.1
700715,903644,2025-01-16,Size/Fit Issue,Approved,1110.0,99.1,180.38
700716,903645,2024-12-10,Size/Fit Issue,Approved,1190.0,91.59,193.38
700717,903650,2024-12-16,Not as Described,Approved,3170.0,66.94,570.6
700718,903652,2024-11-16,Changed Mind,Approved,1770.0,95.74,287.62
700719,903656,2024-05-16,Wrong Item Delivered,Approved,890.0,157.67,137.95
700720,903658,2024-11-05,Wrong Item Delivered,Approved,1130.0,154.22,175.15
700721,903659,2024-10-28,Not as Described,Rejected,0.0,177.81,0.0
700722,903662,2024-04-20,Changed Mind,Approved,2550.0,97.57,459.0
700723,903664,2024-09-14,Changed Mind,Approved,810.0,138.83,125.55
700724,903667,2024-06-13,Size/Fit Issue,Approved,1190.0,96.0,193.38
700725,903668,2024-08-17,Defective/Damaged,Approved,7400.0,173.87,629.0
700726,903669,2024-10-13,Wrong Item Delivered,Approved,1560.0,60.09,241.8
700727,903670,2024-05-01,Size/Fit Issue,Approved,2560.0,103.22,435.2
700728,903673,2024-08-23,Size/Fit Issue,Approved,2370.0,95.26,402.9
700729,903674,2025-01-11,Changed Mind,Approved,1510.0,164.06,245.38
